"site","period_start","period_end","reference_period","parameter","data_value","lat","lon"
"Reefton (West Coast)","2014-01-01","2014-12-31","1991-2020","Very wet days",2,-42.11578,171.86014
"Reefton (West Coast)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",6.468305304010349,-42.11578,171.86014
"Rotorua (Bay of Plenty)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",65.4,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2014-01-01","2014-12-31","1961-1990","Very wet days",3,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",15.532697933377374,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2014-01-01","2014-12-31","1991-2020","Very wet days",3,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",15.532697933377374,-38.10595,176.31485
"Tara Hills (Canterbury)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",29.2,-44.52612,169.88948
"Tara Hills (Canterbury)","2014-01-01","2014-12-31","1961-1990","Very wet days",2,-44.52612,169.88948
"Tara Hills (Canterbury)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",11.034217608612071,-44.52612,169.88948
"Tara Hills (Canterbury)","2014-01-01","2014-12-31","1991-2020","Very wet days",4,-44.52612,169.88948
"Tara Hills (Canterbury)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",19.56939638600538,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",41.6,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1961-1990","Very wet days",8,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",22.181238997401287,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1991-2020","Very wet days",7,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",19.88431553357364,-38.88784,175.25981
"Taupō (Waikato)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",27,-38.74263,176.08104
"Taupō (Waikato)","2014-01-01","2014-12-31","1961-1990","Very wet days",2,-38.74263,176.08104
"Taupō (Waikato)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",8.860331416976667,-38.74263,176.08104
"Taupō (Waikato)","2014-01-01","2014-12-31","1991-2020","Very wet days",1,-38.74263,176.08104
"Taupō (Waikato)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",4.5654379438620225,-38.74263,176.08104
"Tauranga (Bay of Plenty)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",87.6,-37.673,176.196
"Tauranga (Bay of Plenty)","2014-01-01","2014-12-31","1961-1990","Very wet days",6,-37.673,176.196
"Tauranga (Bay of Plenty)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",33.10841205578048,-37.673,176.196
"Tauranga (Bay of Plenty)","2014-01-01","2014-12-31","1991-2020","Very wet days",6,-37.673,176.196
"Tauranga (Bay of Plenty)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",33.10841205578048,-37.673,176.196
"Timaru (Canterbury)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",38.6,-44.30517,171.22141
"Timaru (Canterbury)","2014-01-01","2014-12-31","1961-1990","Very wet days",2,-44.30517,171.22141
"Timaru (Canterbury)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",19.260918253079506,-44.30517,171.22141
"Timaru (Canterbury)","2014-01-01","2014-12-31","1991-2020","Very wet days",2,-44.30517,171.22141
"Timaru (Canterbury)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",19.260918253079506,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",32.2,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2014-01-01","2014-12-31","1961-1990","Very wet days",4,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",11.217621864164796,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2014-01-01","2014-12-31","1991-2020","Very wet days",3,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",9.137262900265144,-39.46249,175.66283
"Wellington (Wellington)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",62.2,-41.285,174.768
"Wellington (Wellington)","2014-01-01","2014-12-31","1961-1990","Very wet days",3,-41.285,174.768
"Wellington (Wellington)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",13.400758533501897,-41.285,174.768
"Wellington (Wellington)","2014-01-01","2014-12-31","1991-2020","Very wet days",3,-41.285,174.768
"Wellington (Wellington)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",13.400758533501897,-41.285,174.768
"Whanganui (Manawatū-Whanganui)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",40.2,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1961-1990","Very wet days",6,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",21.69834014914602,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1991-2020","Very wet days",4,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",16.045224921818622,-39.93704,175.04509
"Whangaparāoa (Auckland)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",56.2,-36.606,174.835
"Whangaparāoa (Auckland)","2014-01-01","2014-12-31","1961-1990","Very wet days",5,-36.606,174.835
"Whangaparāoa (Auckland)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",22.330923011484476,-36.606,174.835
"Whangaparāoa (Auckland)","2014-01-01","2014-12-31","1991-2020","Very wet days",5,-36.606,174.835
"Whangaparāoa (Auckland)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",22.330923011484476,-36.606,174.835
"Whangārei (Northland)","2014-01-01","2014-12-31",NA,"Maximum one-day rainfall",93,-35.769,174.364
"Whangārei (Northland)","2014-01-01","2014-12-31","1961-1990","Very wet days",15,-35.769,174.364
"Whangārei (Northland)","2014-01-01","2014-12-31","1961-1990","Rainfall due to very wet days",54.01682311349507,-35.769,174.364
"Whangārei (Northland)","2014-01-01","2014-12-31","1991-2020","Very wet days",15,-35.769,174.364
"Whangārei (Northland)","2014-01-01","2014-12-31","1991-2020","Rainfall due to very wet days",54.01682311349507,-35.769,174.364
"Auckland (Auckland)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",39,-37.00813,174.78873
"Auckland (Auckland)","2013-01-01","2013-12-31","1961-1990","Very wet days",7,-37.00813,174.78873
"Auckland (Auckland)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",20.711562897077513,-37.00813,174.78873
"Auckland (Auckland)","2013-01-01","2013-12-31","1991-2020","Very wet days",8,-37.00813,174.78873
"Auckland (Auckland)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",23.289163187511345,-37.00813,174.78873
"Blenheim (Marlborough)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",50,-41.52133,173.86439
"Blenheim (Marlborough)","2013-01-01","2013-12-31","1961-1990","Very wet days",5,-41.52133,173.86439
"Blenheim (Marlborough)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",27.019796682718027,-41.52133,173.86439
"Blenheim (Marlborough)","2013-01-01","2013-12-31","1991-2020","Very wet days",5,-41.52133,173.86439
"Blenheim (Marlborough)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",27.019796682718027,-41.52133,173.86439
"Christchurch (Canterbury)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",55.6,-43.493,172.537
"Christchurch (Canterbury)","2013-01-01","2013-12-31","1961-1990","Very wet days",2,-43.493,172.537
"Christchurch (Canterbury)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",12.694610778443113,-43.493,172.537
"Christchurch (Canterbury)","2013-01-01","2013-12-31","1991-2020","Very wet days",3,-43.493,172.537
"Christchurch (Canterbury)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",16.34730538922156,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",58.8,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Very wet days",8,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",32.296974108349794,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Very wet days",8,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",32.296974108349794,-40.21,176.109
"Dunedin (Otago)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",47.6,-45.90129,170.5147
"Dunedin (Otago)","2013-01-01","2013-12-31","1961-1990","Very wet days",7,-45.90129,170.5147
"Dunedin (Otago)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",29.66684294024326,-45.90129,170.5147
"Dunedin (Otago)","2013-01-01","2013-12-31","1991-2020","Very wet days",7,-45.90129,170.5147
"Dunedin (Otago)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",29.66684294024326,-45.90129,170.5147
"Gisborne (Gisborne)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",79.6,-38.6586,177.9851
"Gisborne (Gisborne)","2013-01-01","2013-12-31","1961-1990","Very wet days",5,-38.6586,177.9851
"Gisborne (Gisborne)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",27.08397258872865,-38.6586,177.9851
"Gisborne (Gisborne)","2013-01-01","2013-12-31","1991-2020","Very wet days",4,-38.6586,177.9851
"Gisborne (Gisborne)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",23.790528792063004,-38.6586,177.9851
"Gore (Southland)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",53.8,-46.115,168.887
"Gore (Southland)","2013-01-01","2013-12-31","1961-1990","Very wet days",8,-46.115,168.887
"Gore (Southland)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",26.384839650145768,-46.115,168.887
"Gore (Southland)","2013-01-01","2013-12-31","1991-2020","Very wet days",8,-46.115,168.887
"Gore (Southland)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",26.384839650145768,-46.115,168.887
"Hamilton (Waikato)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",68.8,-37.86088,175.33175
"Hamilton (Waikato)","2013-01-01","2013-12-31","1961-1990","Very wet days",4,-37.86088,175.33175
"Hamilton (Waikato)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",16.55081720834116,-37.86088,175.33175
"Hamilton (Waikato)","2013-01-01","2013-12-31","1991-2020","Very wet days",4,-37.86088,175.33175
"Hamilton (Waikato)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",16.55081720834116,-37.86088,175.33175
"Hokitika (West Coast)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",80.1,-42.71228,170.98428
"Hokitika (West Coast)","2013-01-01","2013-12-31","1961-1990","Very wet days",8,-42.71228,170.98428
"Hokitika (West Coast)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",20.61797114620016,-42.71228,170.98428
"Hokitika (West Coast)","2013-01-01","2013-12-31","1991-2020","Very wet days",8,-42.71228,170.98428
"Hokitika (West Coast)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",20.61797114620016,-42.71228,170.98428
"Invercargill (Southland)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",46,-46.41741,168.33052
"Invercargill (Southland)","2013-01-01","2013-12-31","1961-1990","Very wet days",9,-46.41741,168.33052
"Invercargill (Southland)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",24.218679636134375,-46.41741,168.33052
"Invercargill (Southland)","2013-01-01","2013-12-31","1991-2020","Very wet days",9,-46.41741,168.33052
"Invercargill (Southland)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",24.218679636134375,-46.41741,168.33052
"Kerikeri (Northland)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",95,-35.183,173.926
"Kerikeri (Northland)","2013-01-01","2013-12-31","1961-1990","Very wet days",6,-35.183,173.926
"Kerikeri (Northland)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",31.547074149707772,-35.183,173.926
"Kerikeri (Northland)","2013-01-01","2013-12-31","1991-2020","Very wet days",6,-35.183,173.926
"Kerikeri (Northland)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",31.547074149707772,-35.183,173.926
"Lake Tekapo (Canterbury)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",48.3,-44.002,170.441
"Lake Tekapo (Canterbury)","2013-01-01","2013-12-31","1961-1990","Very wet days",8,-44.002,170.441
"Lake Tekapo (Canterbury)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",43.60114777618364,-44.002,170.441
"Lake Tekapo (Canterbury)","2013-01-01","2013-12-31","1991-2020","Very wet days",8,-44.002,170.441
"Lake Tekapo (Canterbury)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",43.60114777618364,-44.002,170.441
"Masterton (Wellington)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",67.8,-40.957,175.707
"Masterton (Wellington)","2013-01-01","2013-12-31","1961-1990","Very wet days",12,-40.957,175.707
"Masterton (Wellington)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",41.12311015118791,-40.957,175.707
"Masterton (Wellington)","2013-01-01","2013-12-31","1991-2020","Very wet days",11,-40.957,175.707
"Masterton (Wellington)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",38.79049676025918,-40.957,175.707
"Milford Sound (Southland)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",223.4,-44.67384,167.92406
"Milford Sound (Southland)","2013-01-01","2013-12-31","1961-1990","Very wet days",14,-44.67384,167.92406
"Milford Sound (Southland)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",31.294705606746838,-44.67384,167.92406
"Milford Sound (Southland)","2013-01-01","2013-12-31","1991-2020","Very wet days",12,-44.67384,167.92406
"Milford Sound (Southland)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",27.89317507418398,-44.67384,167.92406
"Napier (Hawke's Bay)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",116.5,-39.49846,176.91189
"Napier (Hawke's Bay)","2013-01-01","2013-12-31","1961-1990","Very wet days",4,-39.49846,176.91189
"Napier (Hawke's Bay)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",34.45480340494528,-39.49846,176.91189
"Napier (Hawke's Bay)","2013-01-01","2013-12-31","1991-2020","Very wet days",4,-39.49846,176.91189
"Napier (Hawke's Bay)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",34.45480340494528,-39.49846,176.91189
"Nelson (Nelson)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",122,-41.299,173.226
"Nelson (Nelson)","2013-01-01","2013-12-31","1961-1990","Very wet days",3,-41.299,173.226
"Nelson (Nelson)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",24.932975871313673,-41.299,173.226
"Nelson (Nelson)","2013-01-01","2013-12-31","1991-2020","Very wet days",3,-41.299,173.226
"Nelson (Nelson)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",24.932975871313673,-41.299,173.226
"New Plymouth (Taranaki)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",55.8,-39.0079,174.18382
"New Plymouth (Taranaki)","2013-01-01","2013-12-31","1961-1990","Very wet days",3,-39.0079,174.18382
"New Plymouth (Taranaki)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",10.645750837648492,-39.0079,174.18382
"New Plymouth (Taranaki)","2013-01-01","2013-12-31","1991-2020","Very wet days",5,-39.0079,174.18382
"New Plymouth (Taranaki)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",15.58026195552848,-39.0079,174.18382
"Queenstown (Otago)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",64.6,-45.01758,168.74005
"Queenstown (Otago)","2013-01-01","2013-12-31","1961-1990","Very wet days",6,-45.01758,168.74005
"Queenstown (Otago)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",28.52996662313162,-45.01758,168.74005
"Queenstown (Otago)","2013-01-01","2013-12-31","1991-2020","Very wet days",6,-45.01758,168.74005
"Queenstown (Otago)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",28.52996662313162,-45.01758,168.74005
"Reefton (West Coast)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",80.8,-42.11578,171.86014
"Reefton (West Coast)","2013-01-01","2013-12-31","1961-1990","Very wet days",4,-42.11578,171.86014
"Reefton (West Coast)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",14.0625,-42.11578,171.86014
"Reefton (West Coast)","2013-01-01","2013-12-31","1991-2020","Very wet days",4,-42.11578,171.86014
"Reefton (West Coast)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",14.0625,-42.11578,171.86014
"Rotorua (Bay of Plenty)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",73,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2013-01-01","2013-12-31","1961-1990","Very wet days",4,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",17.442732194918783,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2013-01-01","2013-12-31","1991-2020","Very wet days",4,-38.10595,176.31485
"Rotorua (Bay of Plenty)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",17.442732194918783,-38.10595,176.31485
"Tara Hills (Canterbury)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",65.4,-44.52612,169.88948
"Tara Hills (Canterbury)","2013-01-01","2013-12-31","1961-1990","Very wet days",4,-44.52612,169.88948
"Tara Hills (Canterbury)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",28.81446039340777,-44.52612,169.88948
"Tara Hills (Canterbury)","2013-01-01","2013-12-31","1991-2020","Very wet days",6,-44.52612,169.88948
"Tara Hills (Canterbury)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",36.57628920786816,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",65.4,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Very wet days",11,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",29.627722189523247,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Very wet days",8,-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",23.469688051795174,-38.88784,175.25981
"Taupō (Waikato)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",23,-38.74263,176.08104
"Taupō (Waikato)","2013-01-01","2013-12-31","1961-1990","Very wet days",0,-38.74263,176.08104
"Taupō (Waikato)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",0,-38.74263,176.08104
"Taupō (Waikato)","2013-01-01","2013-12-31","1991-2020","Very wet days",0,-38.74263,176.08104
"Taupō (Waikato)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",0,-38.74263,176.08104
"Tauranga (Bay of Plenty)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",112.6,-37.673,176.196
"Tauranga (Bay of Plenty)","2013-01-01","2013-12-31","1961-1990","Very wet days",6,-37.673,176.196
"Tauranga (Bay of Plenty)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",36.16980034890483,-37.673,176.196
"Tauranga (Bay of Plenty)","2013-01-01","2013-12-31","1991-2020","Very wet days",6,-37.673,176.196
"Tauranga (Bay of Plenty)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",36.16980034890483,-37.673,176.196
"Timaru (Canterbury)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",49.4,-44.30517,171.22141
"Timaru (Canterbury)","2013-01-01","2013-12-31","1961-1990","Very wet days",2,-44.30517,171.22141
"Timaru (Canterbury)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",14.960780562464127,-44.30517,171.22141
"Timaru (Canterbury)","2013-01-01","2013-12-31","1991-2020","Very wet days",2,-44.30517,171.22141
"Timaru (Canterbury)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",14.960780562464127,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",51.2,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Very wet days",13,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",38.90492782478845,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Very wet days",8,-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",28.352414136386262,-39.46249,175.66283
"Wellington (Wellington)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",62,-41.285,174.768
"Wellington (Wellington)","2013-01-01","2013-12-31","1961-1990","Very wet days",10,-41.285,174.768
"Wellington (Wellington)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",32.88045431672778,-41.285,174.768
"Wellington (Wellington)","2013-01-01","2013-12-31","1991-2020","Very wet days",10,-41.285,174.768
"Wellington (Wellington)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",32.88045431672778,-41.285,174.768
"Whanganui (Manawatū-Whanganui)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",58.6,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Very wet days",7,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",30.113854419854164,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Very wet days",6,-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",27.043622873225022,-39.93704,175.04509
"Whangaparāoa (Auckland)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",52.2,-36.606,174.835
"Whangaparāoa (Auckland)","2013-01-01","2013-12-31","1961-1990","Very wet days",7,-36.606,174.835
"Whangaparāoa (Auckland)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",26.671006944444446,-36.606,174.835
"Whangaparāoa (Auckland)","2013-01-01","2013-12-31","1991-2020","Very wet days",7,-36.606,174.835
"Whangaparāoa (Auckland)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",26.671006944444446,-36.606,174.835
"Whangārei (Northland)","2013-01-01","2013-12-31",NA,"Maximum one-day rainfall",61.8,-35.769,174.364
"Whangārei (Northland)","2013-01-01","2013-12-31","1961-1990","Very wet days",5,-35.769,174.364
"Whangārei (Northland)","2013-01-01","2013-12-31","1961-1990","Rainfall due to very wet days",24.112352882998714,-35.769,174.364
"Whangārei (Northland)","2013-01-01","2013-12-31","1991-2020","Very wet days",5,-35.769,174.364
"Whangārei (Northland)","2013-01-01","2013-12-31","1991-2020","Rainfall due to very wet days",24.112352882998714,-35.769,174.364
"Auckland (Auckland)","2012-01-01","2012-12-31",NA,"Maximum one-day rainfall",44.2,-37.00813,174.78873
"Auckland (Auckland)","2012-01-01","2012-12-31","1961-1990","Very wet days",5,-37.00813,174.78873
"Auckland (Auckland)","2012-01-01","2012-12-31","1961-1990","Rainfall due to very wet days",17.764932562620427,-37.00813,174.78873
"Auckland (Auckland)","2012-01-01","2012-12-31","1991-2020","Very wet days",7,-37.00813,174.78873
"Auckland (Auckland)","2012-01-01","2012-12-31","1991-2020","Rainfall due to very wet days",23.02504816955684,-37.00813,174.78873
"Blenheim (Marlborough)","2012-01-01","2012-12-31",NA,"Maximum one-day rainfall",38,-41.52133,173.86439
"Blenheim (Marlborough)","2012-01-01","2012-12-31","1961-1990","Very wet days",4,-41.52133,173.86439
"Blenheim (Marlborough)","2012-01-01","2012-12-31","1961-1990","Rainfall due to very wet days",19.94502138057422,-41.52133,173.86439
"Blenheim (Marlborough)","2012-01-01","2012-12-31","1991-2020","Very wet days",4,-41.52133,173.86439
"Blenheim (Marlborough)","2012-01-01","2012-12-31","1991-2020","Rainfall due to very wet days",19.94502138057422,-41.52133,173.86439
"Christchurch (Canterbury)","2012-01-01","2012-12-31",NA,"Maximum one-day rainfall",44.6,-43.493,172.537
"Christchurch (Canterbury)","2012-01-01","2012-12-31","1961-1990","Very wet days",8,-43.493,172.537
"Christchurch (Canterbury)","2012-01-01","2012-12-31","1961-1990","Rainfall due to very wet days",39.044198032172424,-43.493,172.537
"Christchurch (Canterbury)","2012-01-01","2012-12-31","1991-2020","Very wet days",8,-43.493,172.537
"Christchurch (Canterbury)","2012-01-01","2012-12-31","1991-2020","Rainfall due to very wet days",39.044198032172424,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","2012-01-01","2012-12-31",NA,"Maximum one-day rainfall",49.8,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2012-01-01","2012-12-31","1961-1990","Very wet days",6,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2012-01-01","2012-12-31","1961-1990","Rainfall due to very wet days",22.342687074829932,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2012-01-01","2012-12-31","1991-2020","Very wet days",6,-40.21,176.109
"Dannevirke (Manawatū-Whanganui)","2012-01-01","2012-12-31","1991-2020","Rainfall due to very wet days",22.342687074829932,-40.21,176.109
"Dunedin (Otago)","2012-01-01","2012-12-31",NA,"Maximum one-day rainfall",42.2,-45.90129,170.5147
"Dunedin (Otago)","2012-01-01","2012-12-31","1961-1990","Very wet days",6,-45.90129,170.5147
"Dunedin (Otago)","2012-01-01","2012-12-31","1961-1990","Rainfall due to very wet days",25.199230557845564,-45.90129,170.5147
"Dunedin (Otago)","2012-01-01","2012-12-31","1991-2020","Very wet days",6,-45.90129,170.5147
"Dunedin (Otago)","2012-01-01","2012-12-31","1991-2020","Rainfall due to very wet days",25.199230557845564,-45.90129,170.5147
"Gisborne (Gisborne)","2012-01-01","2012-12-31",NA,"Maximum one-day rainfall",152.8,-38.6586,177.9851
"Gisborne (Gisborne)","2012-01-01","2012-12-31","1961-1990","Very wet days",8,-38.6586,177.9851
"Gisborne (Gisborne)","2012-01-01","2012-12-31","1961-1990","Rainfall due to very wet days",42.49050166705435,-38.6586,177.9851
"Gisborne (Gisborne)","2012-01-01","2012-12-31","1991-2020","Very wet days",8,-38.6586,177.9851
"Gisborne (Gisborne)","2012-01-01","2012-12-31","1991-2020","Rainfall due to very wet days",42.49050166705435,-38.6586,177.9851
