"rate_C_year","location","lat","long","spatial_extent","method_LSWT","method_LSWT_standard","method_trend","aggregation_mean_min_max_etc","annual_seasonal_data","temporal_aggregation","n_lakes","n_years","min_year","max_year","paper_source","citation","citation_short","journal","other.notes.","link","comment.from.Whitney","comment.on.comparing.studies","reviewer.1","n_reviewers","all_reviewers"
"0.031","Yunnan-Guizhou Plateau",25.97885192,104.8733531,"region","MOD11A2","satellite","Theil-Sen slope","mean","annual (day)","annual","11",17,2001,2018,"","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al. 2020","","","","",NA,"OR",3,"MS, OR, MP"
"0.001","Yunnan-Guizhou Plateau",25.97885192,104.8733531,"region","MOD11A2","satellite","Theil-Sen slope","mean","annual (night)","annual (night)","11",17,2001,2018,"","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al. 2020","","","","",NA,"OR",3,"MS, OR, MP"
"0.004","Dianchi Lake",24.83710233,102.7108856,"point","MOD11A2","satellite","least-squares linear regression model","mean","annual (day)","annual","1",17,2001,2018,"","Yang, J., Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2022). Maximum lake surface water temperatures changing characteristics under climate change. Environmental Science and Pollution Research, 29(2), 2547-2554.","Yang et al. 2022","","MLSWT increased so more aglea blooms","","",NA,"OR",2,"WW, OR"
"0.0234","Dianchi Lake",24.83710233,102.7108856,"point","MOD11A2","satellite","least-squares linear regression model","mean","annual (night)","annual (night)","1",17,2001,2018,"","Yang, J., Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2022). Maximum lake surface water temperatures changing characteristics under climate change. Environmental Science and Pollution Research, 29(2), 2547-2554.","Yang et al. 2022","","MLSWT increased so more aglea blooms","","",NA,"OR",2,"WW, OR"
"0.031","China",28.55569495,113.1711236,"region","MOD11A2","satellite","Theil-Sen slope and Mann-Kendall nonparametric test method","mean","annual","annual","6",17,2001,2018,"Scopus","Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changingtaking Chinas six main lakes as example. Ecological Indicators, 145, 109651.","Peng et al. 2022","Ecological Indicators","","","",NA,"OR",2,"OR, MP"
"0.037","China",28.55569495,113.1711236,"region","MOD11A3","satellite","Theil-Sen slope and Mann-Kendall nonparametric test method","mean","seasonal","spring","6",17,2001,2018,"Scopus","Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changingtaking Chinas six main lakes as example. Ecological Indicators, 145, 109651.","Peng et al. 2022","Ecological Indicators","","","",NA,"OR",2,"OR, MP"
"0.031","China",28.55569495,113.1711236,"region","MOD11A3","satellite","Theil-Sen slope and Mann-Kendall nonparametric test method","mean","seasonal","summer","6",17,2001,2018,"Scopus","Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changingtaking Chinas six main lakes as example. Ecological Indicators, 145, 109651.","Peng et al. 2022","Ecological Indicators","","","",NA,"OR",2,"OR, MP"
"0.02","China",28.55569495,113.1711236,"region","MOD11A3","satellite","Theil-Sen slope and Mann-Kendall nonparametric test method","mean","seasonal","autumn","6",17,2001,2018,"Scopus","Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changingtaking Chinas six main lakes as example. Ecological Indicators, 145, 109651.","Peng et al. 2022","Ecological Indicators","","","",NA,"OR",2,"OR, MP"
"0.034","China",28.55569495,113.1711236,"region","MOD11A3","satellite","Theil-Sen slope and Mann-Kendall nonparametric test method","mean","seasonal","winter","6",17,2001,2018,"Scopus","Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changingtaking Chinas six main lakes as example. Ecological Indicators, 145, 109651.","Peng et al. 2022","Ecological Indicators","","","",NA,"OR",2,"OR, MP"
"0.032","Tibetan Plateau",31.67525563,87.80117456,"region","MOD11A1","modelled","linear interpolation","mean","seasonal","summer","81",38,1980,2018,"Scopus","Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.","Shi et al. 2024","Earth and Space Science","","","",NA,"OR",4,"WW, MS, OR, MP"
"0.042","Yunnan-Guizhou Plateau",25.97885192,104.8733531,"region","MOD11A2, ?-SVR-AHP-BPANN combination forecasting model","satellite","Mann-Kendall","mean","annual","annual","11",17,2001,2019,"Scopus","Yu, Z., Yang, K., Luo, Y., Shang, C., & Zhu, Y. (2020). Lake surface water temperature prediction and changing characteristics analysis-A case study of 11 natural lakes in Yunnan-Guizhou Plateau. Journal of Cleaner Production, 276, 122689.","Yu et al. 2020","Journal of Cleaner Production","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088496762&doi=10.1016%2fj.jclepro.2020.122689&partnerID=40&md5=14bfbc9a11f447337bd336333e662980","",NA,"OR",2,"MS, OR"
"0.01","Dianchi Lake",24.83710233,102.7108856,"point","MOD11A2","satellite","Mann-Kendall","mean","annual (day)","annual","1",17,2001,2018,"Scopus","Zhao, Y., Yang, K., Luo, Y., & Yu, Z. (2022). Spatialtemporal characteristics of surface thermal environment and its effect on Lake surface water temperature in Dianchi Lake basin. Frontiers in Ecology and Evolution, 10. https://doi.org/10.3389/fevo.2022.984692","Zhao et al. 2022","Frontiers in Ecology and Evolution","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141632269&doi=10.3389%2ffevo.2022.984692&partnerID=40&md5=0adfaa30487294ecc19f7a7183eeeab8","",NA,"OR",2,"MS, OR"
"0.02","Dianchi Lake",24.83710233,102.7108856,"point","MOD11A2","satellite","Mann-Kendall","mean","annual (night)","annual (night)","1",17,2001,2018,"Scopus","Zhao, Y., Yang, K., Luo, Y., & Yu, Z. (2022). Spatialtemporal characteristics of surface thermal environment and its effect on Lake surface water temperature in Dianchi Lake basin. Frontiers in Ecology and Evolution, 10. https://doi.org/10.3389/fevo.2022.984692","Zhao et al. 2022","Frontiers in Ecology and Evolution","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141632269&doi=10.3389%2ffevo.2022.984692&partnerID=40&md5=0adfaa30487294ecc19f7a7183eeeab8","",NA,"OR",2,"MS, OR"
"0.013","global",0,-108.8,"global","Lakes_cci, GLTC, FLake model","modelled","CTL and CFT","mean","annual","annual","1260",43,1979,2022,"Scopus","Wang, X., Shi, K., Qin, B., Zhang, Y., & Woolway, R. I. (2024). Disproportionate impact of atmospheric heat events on lake surface water temperature increases. Nature Climate Change, 14(11), 1172-1177.","Wang et al. 2024","Nature Climate Change","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204236793&doi=10.1038%2fs41558-024-02122-y&partnerID=40&md5=c61b5cf6fbdbf32e3518817d096dfc2c","",NA,"OR",2,"OR, MP"
"0.023","global",0,-108.8,"global","Lakes_cci, GLTC, FLake model","modelled","CTL and CFT","mean","annual","summer","1260",43,1979,2022,"Scopus","Wang, X., Shi, K., Qin, B., Zhang, Y., & Woolway, R. I. (2024). Disproportionate impact of atmospheric heat events on lake surface water temperature increases. Nature Climate Change, 14(11), 1172-1177.","Wang et al. 2024","Nature Climate Change","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204236793&doi=10.1038%2fs41558-024-02122-y&partnerID=40&md5=c61b5cf6fbdbf32e3518817d096dfc2c","",NA,"OR",2,"OR, MP"
"0.07","Lake Qiandaohu, China",29.59736062,118.9732215,"point","in situ, Landsat 5, 7 and 8 collection 1 Level 1 Tier 1","satellite and in situ","Sens slope","mean","annual","annual","1",36,1986,2021,"Scopus","Li, Y., Shi, K., Zhang, Y., Zhu, G., Guo, Y., Li, H., & Du, C. (2022). Warming lake surface water temperatures in Lake Qiandaohu, China: Spatiotemporal variations, influencing factors and implications for the thermal structure. Frontiers in Environmental Science, 10, 995862.","Li et al. 2022","Frontiers in Environmental Science","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138079657&doi=10.3389%2ffenvs.2022.995862&partnerID=40&md5=bac11ecce5be3f0f8c9147d799930bd1","",NA,"OR",2,"OR, MP"
"0.026","China",34.34110332,103.527215,"region","MOD11A2","satellite","linear regression","mean","annual","annual","169",15,2001,2016,"Google Scholar","Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.","Xie et al. 2022","","","","",NA,"OR",3,"WW, MS, OR"
"0.021","China",34.34110332,103.527215,"region","MOD11A2","satellite","linear regression","mean","annual (day)","annual","169",15,2001,2016,"Google Scholar","Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.","Xie et al. 2022","","","","",NA,"OR",3,"WW, MS, OR"
"0.031","China",34.34110332,103.527215,"region","MOD11A2","satellite","linear regression","mean","annual (night)","annual (night)","169",15,2001,2016,"Google Scholar","Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.","Xie et al. 2022","","","","",NA,"OR",3,"WW, MS, OR"
"0.058","Europe",55.68930227,14.86411692,"region","in situ","in situ","Mann-Kendall","max","annual","annual","10",50,1966,2015,"Google Scholar","Dokulil, M. T., de Eyto, E., Maberly, S. C., May, L., Weyhenmeyer, G. A., & Woolway, R. I. (2021). Increasing maximum lake surface temperature under climate change. Climatic Change , 165 (3), 56. https://doi.org/10.1007/s10584-021-03085-1","Dokulil et al. 2021","","","","",NA,"OR",3,"WW, OR, MP"
"0.02","Dianchi Lake",24.83710233,102.7108856,"point","MODIS ","satellite","Manner-Kendall ","mean","annual","annual","1",18,2001,2018,"Google Scholar","Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2021). Precipitation events impact on urban lake surface water temperature under the perspective of macroscopic scale. Environmental Science and Pollution Research, 28, 16767-16780.","Yang et al. 2021","","","","",NA,"OR",2,"OR, MP"
"0.037","Poland",53.49888069,18.26177769,"region","CMIP5","satellite","linear regression","mean","annual","annual","10",44,1971,2015,"Google Scholar","Czernecki, B., & Ptak, M. (2018). The impact of global warming on lake surface water temperature in Poland-the application of empirical-statistical downscaling, 1971-2100. Journal of Limnology, 77(2).","Czernecki & Ptak 2018","","","","",NA,"OR",3,"MA, OR, MP"
"0.12","Dianchi Lake",24.83710233,102.7108856,"point","MODIS ","satellite","polynomial regression","mean","annual (day)","annual","1",17,2001,2017,"Google Scholar","Luo, Y., Zhang, Y., Yang, K., Yu, Z., & Zhu, Y. (2019). Spatiotemporal variations in Dianchi lakes surface water temperature from 2001 to 2017 under the influence of climate warming. Ieee Access, 7, 115378-115387.","Luo et al. 2019","","","","",NA,"OR",2,"OR, MP"
"0.09","Dianchi Lake",24.83710233,102.7108856,"point","MODIS ","satellite","polynomial regression","mean","annual (night)","annual (night)","1",17,2001,2017,"Google Scholar","Luo, Y., Zhang, Y., Yang, K., Yu, Z., & Zhu, Y. (2019). Spatiotemporal variations in Dianchi lakes surface water temperature from 2001 to 2017 under the influence of climate warming. Ieee Access, 7, 115378-115387.","Luo et al. 2019","","","","",NA,"OR",2,"OR, MP"
"0.035","Europe",55.68930227,14.86411692,"region","HadISD","modelled","Linear trend","min","annual","annual","8",41,1973,2014,"Google Scholar","Woolway, R. I., Weyhenmeyer, G. A., Schmid, M., Dokulil, M. T., de Eyto, E., Maberly, S. C., ... & Merchant, C. J. (2019). Substantial increase in minimum lake surface temperatures under climate change. Climatic Change, 155, 81-94.","Woolway et al. 2019","","","","",NA,"OR",3,"WW, OR, MP"
"0.032","Europe",55.68930227,14.86411692,"region","HadISD","modelled","Linear trend","min","seasonal","summer","8",41,1973,2014,"Google Scholar","Woolway, R. I., Weyhenmeyer, G. A., Schmid, M., Dokulil, M. T., de Eyto, E., Maberly, S. C., ... & Merchant, C. J. (2019). Substantial increase in minimum lake surface temperatures under climate change. Climatic Change, 155, 81-94.","Woolway et al. 2019","","","","",NA,"OR",3,"WW, OR, MP"
"0.037","Poland (Noethern)",54,19,"country","observational data (0.4 m below surface)","in situ","linear regression","Average","annual","annual","10",44,1971,2015,"google scholar","Czernecki, B., & Ptak, M. (2018). The impact of global warming on lake surface water temperature in Poland-the application of empirical-statistical downscaling, 1971-2100. Journal of Limnology, 77(2).","Czernecki et al., 2018","Journal of Limnology","","","",NA,"MP",3,"MA, OR, MP"
"0.058","Europe",56,15,"region","observational data","in situ","non-parametric Mann-Kendall Test","maximum","annual","annual","10",49,1966,2015,"google scholar","Dokulil, M. T., de Eyto, E., Maberly, S. C., May, L., Weyhenmeyer, G. A., & Woolway, R. I. (2021). Increasing maximum lake surface temperature under climate change. Climatic Change , 165 (3), 56. https://doi.org/10.1007/s10584-021-03085-1","Dokulil et al. 2021","Climate Change","","","",NA,"MP",3,"WW, OR, MP"
"0.04","China",35,105,"country","modelled (FLake)","modelled","Theil-Sen","Mean","annual","annual","91",39,1979,2018,"google scholar","Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al. 2023","Journal of Geophysical Research: Atmospheres","The simulated warming rates of LSWTs in spring and winter are more significant than those in summer and atumn.","","",NA,"MP",3,"WW, MS, MP"
"0.07","Lake Qiandaohu, China",30,119,"point","Satellite (calibrated to profiler)","satellite","Sens slope","mean","annual","annual","1",35,1986,2021,"google scholar","Li, Y., Shi, K., Zhang, Y., Zhu, G., Guo, Y., Li, H., & Du, C. (2022). Warming lake surface water temperatures in Lake Qiandaohu, China: Spatiotemporal variations, influencing factors and implications for the thermal structure. Frontiers in Environmental Science, 10, 995862.","Li et al., 2024","Frontiers in Environmental Science","","","",NA,"MP",2,"OR, MP"
"0.04","Europe",56,15,"region","Satellite (calibrated to in situ)","satellite","ThielSen","mean","annual","annual","26",35,1981,2016,"google scholar","Lieberherr, G., & Wunderle, S. (2018). Lake surface water temperature derived from 35 years of AVHRR sensor data for European lakes. Remote sensing, 10(7), 990.","Lieberherr and Wunderle 2018","Remote Sensing (MDPI)","Demosnstrates relationship by latuitude (fig 11)","","",NA,"MP",2,"WW, MP"
"0.12","Dianchi Lake",25,103,"point","MODIS ","satellite","?","mean","annual","annual","1",16,2001,2017,"google scholar","Luo, Y., Zhang, Y., Yang, K., Yu, Z., & Zhu, Y. (2019). Spatiotemporal variations in Dianchi lakes surface water temperature from 2001 to 2017 under the influence of climate warming. Ieee Access, 7, 115378-115387.","Luo et al. 2019","Ieee Access","","","",NA,"MP",2,"OR, MP"
"0.09","Dianchi Lake",25,103,"point","MODIS ","satellite","?","mean","annual","annual","1",16,2001,2017,"google scholar","Luo, Y., Zhang, Y., Yang, K., Yu, Z., & Zhu, Y. (2019). Spatiotemporal variations in Dianchi lakes surface water temperature from 2001 to 2017 under the influence of climate warming. Ieee Access, 7, 115378-115387.","Luo et al. 2019","Ieee Access","","","",NA,"MP",2,"OR, MP"
"0.031","China",29,113,"region","MOD11A2","satellite","Theil-Sen slope and Mann-Kendall nonparametric test method","mean","annual","annual","6",17,2001,2018,"google scholar","Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changingtaking Chinas six main lakes as example. Ecological Indicators, 145, 109651.","Peng et al. 2022","Ecological Indicators","","","",NA,"MP",2,"OR, MP"
"0.104","Lake Giles",71,-75,"point","in situ sensor (at 2m)","in situ","Sen's slope","?","annual","summer","1",26,1988,2014,"google scholar","Pilla, R. M., Williamson, C. E., Zhang, J., Smyth, R. L., Lenters, J. D., Brentrup, J. A., ... & Fisher, T. J. (2018). Browning?related decreases in water transparency lead to long?term increases in surface water temperature and thermal stratification in two small lakes. Journal of Geophysical Research: Biogeosciences, 123(5), 1651-1665.","Pilla et al. 2018","Journal of Geophysical Research: Biogeosciences","","","",NA,"MP",2,"WW, MP"
"0.077","Lake Lacawac",41,-75,"point","in situ sensor (at 2m)","in situ","Sen's slope","?","annual","summer","1",26,1988,2014,"google scholar","Pilla, R. M., Williamson, C. E., Zhang, J., Smyth, R. L., Lenters, J. D., Brentrup, J. A., ... & Fisher, T. J. (2018). Browning?related decreases in water transparency lead to long?term increases in surface water temperature and thermal stratification in two small lakes. Journal of Geophysical Research: Biogeosciences, 123(5), 1651-1665.","Pilla et al. 2018","Journal of Geophysical Research: Biogeosciences","","","",NA,"MP",2,"WW, MP"
"0.032","Tibetan Plateau",32,88,"region","MOD11A1","satellite","regression","mean","Ice free summer (July, Aug, Spet)","summer","81",38,1980,2018,"google scholar","Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.","Shi et al., 2024","Earth and Space Science","","","",NA,"MP",4,"WW, MS, OR, MP"
"0.025","China",34,104,"region","MOD11A1 and MYD11A1","satellite","linear regression","mean","annual","annual","1451",20,2001,2021,"google scholar","Song, S., Yang, J., Liu, L., Bai, G., Zhou, J., & McKay, D. (2024). Lake surface water temperature in China from 2001 to 2021 based on GEE and HANTS. Ecological Informatics, 84, 102903.","Song et al. 2024","Ecological Informatics","","","",NA,"MP",2,"WW, MP"
"0.024","global",32,-35,"global","modelled (FLake), calibrated by landsat","modelled","linear regression","mean","annual - ice free (<1degC)","annual","92245",39,1981,2020,"google scholar","Tong, Y., Feng, L., Wang, X., Pi, X., Xu, W., & Woolway, R. I. (2023). Global lakes are warming slower than surface air temperature due to accelerated evaporation. Nature Water, 1(11), 929-940.","Tong et al. 2023","Nature Water","","","",NA,"MP",2,"WW, MP"
"0.037","Tibetan Plateau",32,88,"region","MODIS","satellite","linear regression across the annual/seasonal mean","mean","annual","annual","374",14,2001,2015,"google scholar","Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.","Wan et al., 2018","Geophysical Research Letters","With the vast majority of the lakes (70%, with 28% of which are significant) showing warming (0.076 °C/year) and the rest (30%, with 37% of which are significant) showing cooling (0.053 °C/year). This astonishing contrast was controlled by different water sources recharging these lakes: (1) warming LSWT due to increased precipitation (central and northern TP) or permafrost degradation (northwestern TP) and (2) cooling LSWT due to increased glacier meltwater (southwestern TP), revealing LSWT a sensitive indicator to climate change that triggered different regional responses in precipitation, permafrost, and glacier changes over the TP.","","",NA,"MP",3,"WW, MS, MP"
"0.019","Tibetan Plateau",32,88,"region","MODIS","satellite","linear regression across the annual/seasonal mean","mean","seasonal","spring","374",14,2001,2015,"google scholar","Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.","Wan et al., 2018","Geophysical Research Letters","","","",NA,"MP",3,"WW, MS, MP"
"0.023","Tibetan Plateau",32,88,"region","MODIS","satellite","linear regression across the annual/seasonal mean","mean","seasonal","summer","374",14,2001,2015,"google scholar","Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.","Wan et al., 2018","Geophysical Research Letters","","","",NA,"MP",3,"WW, MS, MP"
"0.072","Tibetan Plateau",32,88,"region","MODIS","satellite","linear regression across the annual/seasonal mean","mean","seasonal","autumn","374",14,2001,2015,"google scholar","Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.","Wan et al., 2018","Geophysical Research Letters","","","",NA,"MP",3,"WW, MS, MP"
"0.037","Tibetan Plateau",32,88,"region","MODIS","satellite","linear regression across the annual/seasonal mean","mean","seasonal","winter","374",14,2001,2015,"google scholar","Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.","Wan et al., 2018","Geophysical Research Letters","","","",NA,"MP",3,"WW, MS, MP"
"0.035","Europe",56,15,"region","Observed","in situ","linear trend model","min","annual","annual","8",41,1973,2014,"google scholar","Woolway, R. I., Weyhenmeyer, G. A., Schmid, M., Dokulil, M. T., de Eyto, E., Maberly, S. C., ... & Merchant, C. J. (2019). Substantial increase in minimum lake surface temperatures under climate change. Climatic Change, 155, 81-94.","Woolway et al. 2019","Climatic Change","","","",NA,"MP",3,"WW, OR, MP"
"0.032","Europe",56,15,"region","Observed","in situ","linear trend model","min","July-Aug-Sept","summer","8",41,1973,2014,"google scholar","Woolway, R. I., Weyhenmeyer, G. A., Schmid, M., Dokulil, M. T., de Eyto, E., Maberly, S. C., ... & Merchant, C. J. (2019). Substantial increase in minimum lake surface temperatures under climate change. Climatic Change, 155, 81-94.","Woolway et al. 2019","Climatic Change","","","",NA,"MP",3,"WW, OR, MP"
"0.042","Yunnan-Guizhou Plateau",27,105,"region","MOD11A2 remote-sensing images","satellite","Theil-Sen slope","mean","annual (excluding lakes that cooled)","annual","8",17,2001,2018,"google scholar","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020","Water Research","","","",NA,"MP",3,"MS, OR, MP"
"0.019","Yunnan-Guizhou Plateau",27,105,"region","MOD11A2 remote-sensing images","satellite","Theil-Sen slope","mean","annual (excluding lakes that cooled)","annual","8",17,2001,2018,"google scholar","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020","Water Research","","","",NA,"MP",3,"MS, OR, MP"
"0.031","Yunnan-Guizhou Plateau",27,105,"region","MOD11A2 remote-sensing images","satellite","Theil-Sen slope","mean","annual","annual","8",17,2001,2018,"google scholar","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020","Water Research","","","",NA,"MP",3,"MS, OR, MP"
"0.01","Yunnan-Guizhou Plateau",27,105,"region","MOD11A2 remote-sensing images","satellite","Theil-Sen slope","mean","annual","annual","8",17,2001,2018,"google scholar","Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020","Water Research","","","",NA,"MP",3,"MS, OR, MP"
"0.02","Dianchi Lake",25,103,"point","MOD11A2","satellite","Not stated (linear regression?)","mean","annual","annual","1",17,2001,2018,"google scholar","Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2021). Precipitation events impact on urban lake surface water temperature under the perspective of macroscopic scale. Environmental Science and Pollution Research, 28, 16767-16780.","Yang et al. 2021","Environmental Science and Pollution Research","","","",NA,"MP",2,"OR, MP"
"0.03","Dianchi Lake",25,103,"point","MOD11A2","satellite","Not stated (linear regression?)","mean","annual (day)","annual","1",17,2001,2018,"google scholar","Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2021). Precipitation events impact on urban lake surface water temperature under the perspective of macroscopic scale. Environmental Science and Pollution Research, 28, 16767-16780.","Yang et al. 2021","Environmental Science and Pollution Research","","","",NA,"MP",2,"OR, MP"
"0.02","Dianchi Lake",25,103,"point","MOD11A2","satellite","Not stated (linear regression?)","mean","annual (day)","annual","1",17,2001,2018,"google scholar","Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2021). Precipitation events impact on urban lake surface water temperature under the perspective of macroscopic scale. Environmental Science and Pollution Research, 28, 16767-16780.","Yang et al. 2021","Environmental Science and Pollution Research","","","",NA,"MP",2,"OR, MP"
"0.023","Lake Inari",69,28,"point","Machine Learning","modelled","Sen Slope","? (appears to be mean)","Annual (exluding ice period; Nov-Jun)","annual","1",63,1960,2023,"Scopus","Kim, H. I., Kim, D., Salamattalab, M. M., Mahdian, M., Bateni, S. M., & Noori, R. (2024). Machine learning-based modeling of surface water temperature dynamics in arctic lakes. Environmental Science and Pollution Research, 31(49), 59642-59655.","Kim et al., 2024","Environmental Science and Pollution Research","","","",NA,"MP",2,"WW, MP"
"0.035","Poland",52,19,"region","Air2Water","modelled","Sen Test","Mean","Annual","annual","6",29,1994,2023,"Scopus","Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ","Ptak et al. 2025","Resources","","","",NA,"MP",3,"MA, MP, CB"
"0.018","Southeast Asia",16,103,"region","MODIS-derived","satellite","Sen's approach","mean","annual (day)","annual","80",34,1986,2020,"Scopus","Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024","Environmental Research","","","",NA,"MP",2,"MA, MP"
"0.013","Southeast Asia",16,103,"region","MODIS-derived","satellite","Sen's approach","mean","annual (night)","annual (night)","80",34,1986,2020,"Scopus","Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024","Environmental Research","","","",NA,"MP",2,"MA, MP"
"0.044","Poland",54,19,"region","daily observed","in situ","Sen's","mean","annual","annual","25",29,1987,2016,"Scopus","Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ","Wang et al., 2025","Atmosphere","","","",NA,"MP",2,"WW, MP"
"0.056","Poland",54,19,"region","daily observed","in situ","Sen's","mean","seasonal","summer","25",29,1987,2016,"Scopus","Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ","Wang et al., 2025","Atmosphere","","","",NA,"MP",2,"WW, MP"
"0.013","global",0,-108.8,"global","Lakes_cci, GLTC, FLake model","modelled","Thiel-sen","mean","annual (ice; <=1deg C excluded)","annual","1260",43,1979,2022,"Scopus","Wang, X., Shi, K., Qin, B., Zhang, Y., & Woolway, R. I. (2024). Disproportionate impact of atmospheric heat events on lake surface water temperature increases. Nature Climate Change, 14(11), 1172-1177.","Wang et al. 2024b","Nature Climate Change","","","",NA,"MP",2,"OR, MP"
