rate_C_year,location,lat,long,spatial_extent,method_LSWT,method_LSWT_standard,method_trend,aggregation_mean_min_max_etc,annual_seasonal_data,temporal_aggregation,n_lakes,n_years,min_year,max_year,paper_source,citation,citation_short,journal,other notes?,link,comment from Whitney,comment on comparing studies,reviewer 1,reviewer 2
0.018,Southeast Asia,16.37239748,103.0765376,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual (day),annual,80,34,1986,2020,Scopuis,"Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024",Environmental Research,,Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect,,,,
0.013,Southeast Asia,16.37239748,103.0765376,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual (night),annual (night),80,34,1986,2020,Scopus,"Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024",Environmental Research,,Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect,,,,
0.04,Europe,55.68930227,14.86411692,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual ,annual,51,38,1981,2019,google scholar,"Stefanidis, K., Varlas, G., Papaioannou, G., Papadopoulos, A., & Dimitriou, E. (2022). Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades. Science of the Total Environment, 830, 154709.",Stefanidis et al. 2022,Science of the Total Environment,,"Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades - ScienceDirect",,,,
0.046,Europe,55.68930227,14.86411692,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,summer,summer,51,38,1981,2019,google scholar,"Stefanidis, K., Varlas, G., Papaioannou, G., Papadopoulos, A., & Dimitriou, E. (2022). Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades. Science of the Total Environment, 830, 154709.",Stefanidis et al. 2022,Science of the Total Environment,,"Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades - ScienceDirect",,,,
0.037,Poland,53.70041097,18.4670487,country,satellite  ,satellite,linear regression,,annual,annual,10,34,1971,2005,google scholar,"Czernecki, B., & Ptak, M. (2018). The impact of global warming on lake surface water temperature in Poland-the application of empirical-statistical downscaling, 1971-2100. Journal of Limnology, 77(2).","Czernecki et al., 2018",Journal of Limnology,,Layout 1,,,,
0.042,Yunnan-Guizhou Plateau,27,105,region,MOD11A2 remote-sensing images,satellite,Theil-Sen slope,mean,annual (day),annual,11,17,2001,2018,GoogleScholar,"Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020",Water Research,"split into night and day temperatures, numbers are day",https://www.sciencedirect.com/science/article/pii/S0043135420305558,,,,
0.019,Yunnan-Guizhou Plateau,27,105,region,MOD11A2 remote-sensing images,satellite,Theil-Sen slope,mean,annual (night),annual (night),11,17,2001,2018,GoogleScholar,"Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.","Yang et al., 2020",Water Research,"split into night and day temperatures, numbers are day",https://www.sciencedirect.com/science/article/pii/S0043135420305558,,,,
0.037,Tibetan Plateau,31.67525563,87.80117456,region,MODIS,satellite,linear regression across the annual/seasonal mean,mean,annual (day),annual,374,14,2001,2015,GoogleScholar,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.","Wan et al., 2018",Geophysical Research Letters,Study conducted on occupied country by researchers from metropole. I'd argue we shouldn't consider it for ethical reasons.,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601,,,,
0.031,Lake Michigan,42.66778,-87.0686,point,GLSEA,satellite,Sen's slope,annual,annual,annual,1,23,1995,2018,Scopus,"Anderson, E.J., Stow, C.A., Gronewold, A.D. et al. Seasonal overturn and stratification changes drive deep-water warming in one of Earth’s largest lakes. Nat Commun 12, 1688 (2021). https://doi.org/10.1038/s41467-021-21971-1"," Anderson et al., 2021",Nature Communications,they also report a rate using linear regressionand seasonal trend decomposition but have chosen sen's slope here,https://www.nature.com/articles/s41467-021-21971-1,,,,
0.04,China,34.34110332,103.527215,region,"Simulation, modelling",modelled,Theil-Sen method,mean,annual,annual,91,39,1979,2018,scholar/scopus,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",Journal of Geophysical Research: Atmospheres,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,,,
0.05,China,34.34110332,103.527215,region,"Simulation, modelling",modelled,Theil-Sen method,mean,seasonal,winter,91,39,1979,2018,scholar/scopus,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",Journal of Geophysical Research: Atmospheres,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,,,
0.041,China,34.34110332,103.527215,region,"Simulation, modelling",modelled,Theil-Sen method,mean,seasonal,spring,91,39,1979,2018,scholar/scopus,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",Journal of Geophysical Research: Atmospheres,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,,,
0.038,China,34.34110332,103.527215,region,"Simulation, modelling",modelled,Theil-Sen method,mean,seasonal,autumn,91,39,1979,2018,scholar/scopus,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",Journal of Geophysical Research: Atmospheres,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,,,
0.029,China,34.34110332,103.527215,region,"Simulation, modelling",modelled,Theil-Sen method,mean,seasonal,summer,91,39,1979,2018,scholar/scopus,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",Journal of Geophysical Research: Atmospheres,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,,,
0.05,Lake Kinneret,32.833333,35.583333,point,Modis,satellite,Linear fit,mean,annual (day),annual,1,16,2003,2019,Scopus,"Kishcha, P., Starobinets, B., Lechinsky, Y., & Alpert, P. (2021). Absence of surface water temperature trends in lake kinneret despite present atmospheric warming: Comparisons with dead sea trends. Remote Sensing (Basel, Switzerland), 13(17), 3461-. https://doi.org/10.3390/rs13173461","Kishcha et al., 2021",Remote Sensing,,https://www.proquest.com/docview/2571500367?accountid=17287&parentSessionId=Nt8kVhIVr4AxkPgmZGK0CsCFas3u1AHSNsqXgNfVtSg%3D&pq-origsite=primo&sourcetype=Scholarly%20Journals,,,,
0,Dead Sea,31.5,35.5,point,Modis,satellite,Linear fit,mean,annual (day),annual,1,16,2003,2019,Scopus,"Kishcha, P., Starobinets, B., Lechinsky, Y., & Alpert, P. (2021). Absence of surface water temperature trends in lake kinneret despite present atmospheric warming: Comparisons with dead sea trends. Remote Sensing (Basel, Switzerland), 13(17), 3461-. https://doi.org/10.3390/rs13173461","Kishcha et al., 2021",Remote Sensing,,https://www.proquest.com/docview/2571500367?accountid=17287&parentSessionId=Nt8kVhIVr4AxkPgmZGK0CsCFas3u1AHSNsqXgNfVtSg%3D&pq-origsite=primo&sourcetype=Scholarly%20Journals,,,,
0.04,Europe,55.68930227,14.86411692,region,AVHRR archive,satellite,Thiel–Sen slope,mean,annual,annual,26,16,1991,2007,GoogleScholar,"Lieberherr, G., & Wunderle, S. (2018). Lake surface water temperature derived from 35 years of AVHRR sensor data for European lakes. Remote sensing, 10(7), 990.","Lieberherr and Wunderle, 2018",Remote sensing,,https://www.mdpi.com/2072-4292/10/7/990,,other entry lists different set of years than this one. also should add rows for the seasons (mean across lakes in from Table 7),,
0.059,Lake Taihu,31.23,120.13,point,MODIS,satellite,linear regression,mean,annual (night),annual (night),1,11,2002,2013,GoogleScholar,"Liu, G., Ou, W., Zhang, Y., Wu, T., Zhu, G., Shi, K., & Qin, B. (2015). Validating and mapping surface water temperatures in Lake Taihu: Results from MODIS land surface temperature products. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 8(3), 1230-1244.","Liu et al., 2015",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,nihttime temperatures,https://ieeexplore.ieee.org/abstract/document/7008836,,,,
-0.05,Wular Lake,34.37,74.56,point,MODIS,satellite,"Mann-Kendall (MK), nonparametric rank based technique",mean,annual (day),annual,1,16,2001,2017,Scopus,"Mushtaq, F., Ahmed, P., & Nee Lala, M. G. (2020). Variability of lake surface water temperature: a case study during El Nino and La Nina events over the Himalayan lake region. Physical Geography, 42(3), 240–264. https://doi.org/10.1080/02723646.2020.1751386","Mushtaq et al., 2020",Physical Geography,day and night temperature show different trends,https://www.tandfonline.com/doi/full/10.1080/02723646.2020.1751386#abstract,,,,
0.01,Wular Lake,34.37,74.56,point,MODIS,satellite,"Mann-Kendall (MK), nonparametric rank based technique",mean,annual (night),annual (night),1,16,2001,2017,Scopus,"Mushtaq, F., Ahmed, P., & Nee Lala, M. G. (2020). Variability of lake surface water temperature: a case study during El Nino and La Nina events over the Himalayan lake region. Physical Geography, 42(3), 240–264. https://doi.org/10.1080/02723646.2020.1751386","Mushtaq et al., 2020",Physical Geography,day and night temperature show different trends,https://www.tandfonline.com/doi/full/10.1080/02723646.2020.1751386#abstract,,,,
0.032,Tibetan Plateau,31.67525563,87.80117456,region,"MOD11A1; Wan et al., 2015",satellite,linear regression,mean,annual,annual,81,38,1980,2018,GoogleScholar,"Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.","Shi et al., 2024",Earth and Space Science,Study conducted on occupied country by researchers from metropole. I'd argue we shouldn't consider it for ethical reasons.,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024EA003910,"please clarify which season the rate was calculated in (summer, spring, etc.) and add a method for trend calculations (if it's not listed, it's usually a linear regression)",,,
0.024,China,34.34110332,103.527215,region,MOD11A2,satellite,linear regression equation,mean,annual,annual,6,17,2001,2018,Scopus,"Tang, Linfeng & Yang, Kun & Shang, Chunxue & Peng, Zongqi & Luo, Yi. (2022). Spatial impact of urban expansion on lake surface water temperature based on the perspective of watershed scale. Frontiers in Environmental Science. 10. 10.3389/fenvs.2022.991502. ","Tang et al., 2022",Frontiers in Environmental Science,,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.991502/full,,,,
0.01,Sardinia,40.04,9,region,"MODIS, Landsat and long-term in situ temperature observations",satellite,Mann-Kendall test and Sen's slope,mean,annual,annual,24,18,2000,2018,Scopus,"Virdis, S. G. P., Soodcharoen, N., Lugliè, A., & Padedda, B. M. (2020). Estimation of satellite-derived lake water surface temperatures in the western Mediterranean: Integrating multi-source, multi-resolution imagery and a long-term field dataset using a time series approach. The Science of the total environment, 707, 135567. https://doi.org/10.1016/j.scitotenv.2019.135567","Virdis et al., 2020",Science of the Total Environment,also data for winter and summer trends reported in study,https://www.sciencedirect.com/science/article/pii/S0048969719355627?pes=vor&utm_source=scopus&getft_integrator=scopus,,,,
0.026,China,34.34110332,103.527215,region,MODIS,satellite,linear regression,mean,annual,annual,169,15,2001,2016,GoogleScholar,"Xie, C., Zhang, X., Zhuang, L., Zhu, R., & Guo, J. (2022). Analysis of surface temperature variation of lakes in China using MODIS land surface temperature data. Scientific Reports, 12(1), 2415.","Xie et al., 2022",Scientific Reports,report also diurnal data,https://www.nature.com/articles/s41598-022-06363-9,,,,
0.29,Yunnan-Guizhou Plateau,26,105,region,MOD11A2 and simulated using (BPANN),satellite,Mann-Kendall,mean,annual,annual,11,18,2001,2019,GoogleScholar,"Yu, Z., Yang, K., Luo, Y., Shang, C., & Zhu, Y. (2020). Lake surface water temperature prediction and changing characteristics analysis-A case study of 11 natural lakes in Yunnan-Guizhou Plateau. Journal of Cleaner Production, 276, 122689.","Yu et al., 2020",Journal of Cleaner Production,,https://www.sciencedirect.com/science/article/pii/S0959652620327360,,,,
0.005,Lake Chaohu,31.53,117.52,point,"MODIS, in-situ",satellite,linear regression,mean,annual,annual,1,56,1960,2016,scholar/scopus,"Zhang, X., Wang, K., Frassl, M. A., & Boehrer, B. (2020). Reconstructing six decades of surface temperatures at a shallow lake. Water, 12(2), 405.","Zhang et al., 2020",Water (Switzerland),,https://www.mdpi.com/2073-4441/12/2/405,,,,
0.038,Patagonia Ice Field,-52.7764716,-72.63186592,region,MOD11A2 and MYD11A2,satellite,linear regression,mean,annual,annual,3,20,2002,2022,Scopus,"Zhao, S., Sun, H., Cheng, J., & Zhang, G. (2025). Water Surface Temperature Dynamics of the Three Largest Ice-Contact Lakes in the Patagonia Icefield over the Last 20 Years [Article]. Water (Switzerland), 17(3), Article 385. https://doi.org/10.3390/w17030385 ","Zhao et al., 2025",Water (Switzerland),,https://www.mdpi.com/2073-4441/17/3/385,,,,
0.01,Dianchi Lake,24.83,102.69,point,"MOD11A2, ASTER GDEM V2, Landsat-8 OLI, meteorological station data, and in situ measurement data",satellite,Mann-Kendall,mean,annual (day),annual,1,17,2001,2018,Scopus,"Zhao, Y., Yang, K., Luo, Y., & Yu, Z. (2022). Spatial–temporal characteristics of surface thermal environment and its effect on Lake surface water temperature in Dianchi Lake basin. Frontiers in Ecology and Evolution, 10. https://doi.org/10.3389/fevo.2022.984692","Zhao et al., 2022",Frontiers in Ecology and Evolution,,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2022.984692/full,,,,
0.02,Dianchi Lake,24.83,102.69,point,"MOD11A2, ASTER GDEM V2, Landsat-8 OLI, meteorological station data, and in situ measurement data",satellite,Mann-Kendall,mean,annual (night),annual (night),1,17,2001,2018,Scopus,"Zhao, Y., Yang, K., Luo, Y., & Yu, Z. (2022). Spatial–temporal characteristics of surface thermal environment and its effect on Lake surface water temperature in Dianchi Lake basin. Frontiers in Ecology and Evolution, 10. https://doi.org/10.3389/fevo.2022.984692","Zhao et al., 2023",Frontiers in Ecology and Evolution,,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2022.984692/full,,,,
0.035,Poland,53.70041097,18.4670487,country,"direct measurements, Air2Water model",modelled and in situ,"Mann-Kendall, Sen's approach",mean,annual,annual,6,29,1994,2023,google scholar,"Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ","Ptak et al., 2025",Resource (MDPI),,Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland,can you clarify why there are two entries for this paper with two different rates?,,,
0.05,Poland,53.70041097,18.4670487,country,"direct measurements, Air2Water model",modelled and in situ,"Mann-Kendall, Sen's approach",mean,summer,summer,6,29,1994,2023,google scholar,"Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ","Ptak et al., 2025",Resource (MDPI),,Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland,,,,
0.041,Finland,61.9241,25.7482,country,"direct measurements, GAM model",modelled and in situ,"Mann-Kendall, Sen's approach",mean,summer,summer,1,37,1984,2021,google scholar,"Noori, R., Woolway, R. I., Jun, C., Bateni, S. M., Naderian, D., Partani, S., ... & Pulkkanen, M. (2023). Multi-decadal change in summer mean water temperature in Lake Konnevesi, Finland (1984–2021). Ecological Informatics, 78, 102331.","Noori et al., 2023",Ecological Information,"predictor variables = summer mean air temp, solar radiation, near-surface wind speed, ice departure date","Multi-decadal change in summer mean water temperature in Lake Konnevesi, Finland (1984–2021) - ScienceDirect",,,,
0.06,Tibetan Plateau,31.67525563,87.80117456,region,CLM4-LISSS model,modelled,linear regression,mean,annual,annual,2,39,1979,2018,Scopus,"Wen, L., Wang, C., Li, Z., Zhao, L., Lyu, S., Leppäranta, M., ... & Chen, S. (2022). Thermal responses of the largest freshwater lake in the Tibetan Plateau and its nearby saline lake to climate change. Remote Sensing, 14(8), 1774.","Wen et al., 2022",Remote Sensing,trend methods were not directly stated,https://www.mdpi.com/2072-4292/14/8/1774,,,,
0.045,global,0,-131.2,global,AVHRR (Advanced Very High Resolution Radiometers) and ATSR (Along-Track Scanning Radiometer) instruments.,satellite,linear regression analysis,mean,annual,annual,113,24,1985,2009,,"Schneider, P., & Hook, S. J. (2010). Space observations of inland water bodies show rapid surface warming since 1985. Geophysical Research Letters, 37(22).",Schneider & Hook  2010,Geophysical Research Letters,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2009GL040846,,,,
0.11,California and Nevada,38.11785067,-118.7593739,region,"ATSR, MODIS ",satellite,Weighted Linear Regression Analysis for Mean Summer Nighttime Temperatures Between 1992 and 2008,mean,seasonal (night),summer (night),6,16,1992,2008,,"Schneider, P., Hook, S. J., Radocinski, R. G., Corlett, G. K., Hulley, G. C., Schladow, S. G., & Steissberg, T. E. (2009). Satellite observations indicate rapid warming trend for lakes in California and Nevada. Geophysical Research Letters, 36(22).",Schneider et al. 2009,Geophysical Research Letters,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010GL045059,,,,
0.031,Yunnan-Guizhou Plateau,25.97885192,104.8733531,region,MOD11A2,satellite,Theil-Sen slope,mean,annual (day),annual,11,17,2001,2018,,"Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.",Yang et al. 2020,,,,,,,
0.001,Yunnan-Guizhou Plateau,25.97885192,104.8733531,region,MOD11A2,satellite,Theil-Sen slope,mean,annual (night),annual (night),11,17,2001,2018,,"Yang, K., Yu, Z., & Luo, Y. (2020). Analysis on driving factors of lake surface water temperature for major lakes in Yunnan-Guizhou Plateau. Water Research, 184, 116018.",Yang et al. 2020,,,,,,,
0.004,Dianchi Lake,24.83710233,102.7108856,point,MOD11A2,satellite,least-squares linear regression model,mean,annual (day),annual,1,17,2001,2018,,"Yang, J., Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2022). Maximum lake surface water temperatures changing characteristics under climate change. Environmental Science and Pollution Research, 29(2), 2547-2554.",Yang et al. 2022,,MLSWT increased so more aglea blooms,,,,,
0.0234,Dianchi Lake,24.83710233,102.7108856,point,MOD11A2,satellite,least-squares linear regression model,mean,annual (night),annual (night),1,17,2001,2018,,"Yang, J., Yang, K., Zhang, Y., Luo, Y., & Shang, C. (2022). Maximum lake surface water temperatures changing characteristics under climate change. Environmental Science and Pollution Research, 29(2), 2547-2554.",Yang et al. 2022,,MLSWT increased so more aglea blooms,,,,,
0.031,China,28.55569495,113.1711236,region,MOD11A2,satellite,Theil-Sen slope and Mann-Kendall nonparametric test method,mean,annual,annual,6,17,2001,2018,Scopus,"Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changing—taking China’s six main lakes as example. Ecological Indicators, 145, 109651.",Peng et al. 2022,Ecological Indicators,,,,,,
0.037,China,28.55569495,113.1711236,region,MOD11A3,satellite,Theil-Sen slope and Mann-Kendall nonparametric test method,mean,seasonal,spring,6,17,2001,2018,Scopus,"Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changing—taking China’s six main lakes as example. Ecological Indicators, 145, 109651.",Peng et al. 2022,Ecological Indicators,,,,,,
0.031,China,28.55569495,113.1711236,region,MOD11A3,satellite,Theil-Sen slope and Mann-Kendall nonparametric test method,mean,seasonal,summer,6,17,2001,2018,Scopus,"Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changing—taking China’s six main lakes as example. Ecological Indicators, 145, 109651.",Peng et al. 2022,Ecological Indicators,,,,,,
0.02,China,28.55569495,113.1711236,region,MOD11A3,satellite,Theil-Sen slope and Mann-Kendall nonparametric test method,mean,seasonal,autumn,6,17,2001,2018,Scopus,"Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changing—taking China’s six main lakes as example. Ecological Indicators, 145, 109651.",Peng et al. 2022,Ecological Indicators,,,,,,
0.034,China,28.55569495,113.1711236,region,MOD11A3,satellite,Theil-Sen slope and Mann-Kendall nonparametric test method,mean,seasonal,winter,6,17,2001,2018,Scopus,"Peng, Z., Yang, K., Shang, C., Duan, H., Tang, L., Zhang, Y., ... & Luo, Y. (2022). Attribution analysis of lake surface water temperature changing—taking China’s six main lakes as example. Ecological Indicators, 145, 109651.",Peng et al. 2022,Ecological Indicators,,,,,,
0.032,Tibetan Plateau,31.67525563,87.80117456,region,MOD11A1,modelled,linear interpolation,mean,seasonal,summer,81,38,1980,2018,Scopus,"Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.",Shi et al. 2024,Earth and Space Science,,,,,,
0.003,Dianchi Lake,24.83710233,102.7108856,point,MODIS 11A2,modelled,Air2water model combined with the Mann-Kendall mutation statistical method,mean,annual,annual,1,114,1900,2014,Google Scholar,"Duan, H., Shang, C., Yang, K., & Luo, Y. (2022). Dynamic response of surface water temperature in Urban Lakes under different climate scenarios—a case study in dianchi Lake, China. International Journal of Environmental Research and Public Health, 19(19), 12142.",Duan et al. 2022,,predictions on future lake rate change,,,,,
0.06,Yunnan-Guizhou Plateau in China,25.97885192,104.8733531,region,MODIS11A2,satellite,Theil-Sen slope,mean,annual,annual,11,22,2001,2023,Scopus,"Duan, H., Yang, K., Shang, C., Zhou, X., & Luo, Y. (2024). Anthropogenic impact of lake surface water temperature of lakes: A case study of eleven lakes on the yunnan-guizhou plateau. Ecological Indicators, 165, 112165.",Duan et al. 2024,Ecological Indicators,,https://www-sciencedirect-com.ezproxy.waikato.ac.nz/science/article/pii/S1470160X24006228,,,,
0.022,Dianchi Lake,24.83710233,102.7108856,point,MODIS,satellite,linear change rate,mean,annual (day),annual,1,17,2001,2018,Scopus,"Yu, Z., Yang, K., Luo, Y., Wang, P., & Yang, Z. (2021). Research on the lake surface water temperature downscaling based on deep learning. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 14, 5550-5558.",Yu et al. 2021,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105879992&doi=10.1109%2fJSTARS.2021.3079357&partnerID=40&md5=58dcd306c13ea7a86ecd9c98d695eaae,,,,
0.021,Dianchi Lake,24.83710233,102.7108856,point,MODIS,satellite,linear change rate,mean,annual (night),annual (night),1,17,2001,2018,Scopus,"Yu, Z., Yang, K., Luo, Y., Wang, P., & Yang, Z. (2021). Research on the lake surface water temperature downscaling based on deep learning. IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 14, 5550-5558.",Yu et al. 2021,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105879992&doi=10.1109%2fJSTARS.2021.3079357&partnerID=40&md5=58dcd306c13ea7a86ecd9c98d695eaae,,,,
0.042,Yunnan-Guizhou Plateau,25.97885192,104.8733531,region,"MOD11A2, ?-SVR-AHP-BPANN combination forecasting model",satellite,Mann-Kendall,mean,annual,annual,11,17,2001,2019,Scopus,"Yu, Z., Yang, K., Luo, Y., Shang, C., & Zhu, Y. (2020). Lake surface water temperature prediction and changing characteristics analysis-A case study of 11 natural lakes in Yunnan-Guizhou Plateau. Journal of Cleaner Production, 276, 122689.",Yu et al. 2020,Journal of Cleaner Production,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088496762&doi=10.1016%2fj.jclepro.2020.122689&partnerID=40&md5=14bfbc9a11f447337bd336333e662980,,,,
-0.012,"Lake Tana, Ethiopia",12.01276555,37.28646711,point,"MODIS, in-situ",satellite,"Sen’s slope estimator, and innovative trend analysis (ITA) ",mean,annual,annual,1,21,2001,2022,Scopus,"Bayable, G., Cai, J., Mekonnen, M., Legesse, S. A., Ishikawa, K., Sato, S., & Kuwahara, V. S. (2024). Spatiotemporal variability of lake surface water temperature and water quality parameters and its interrelationship with water hyacinth biomass in Lake Tana, Ethiopia. Environmental Science and Pollution Research, 31(33), 45929-45953.",Bayable et al. 2024,Environmental Science and Pollution Research,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197755921&doi=10.1007%2fs11356-024-34212-x&partnerID=40&md5=f5d613c4e9dd74de59fdc00210d6f82a,"NOTE: I changed the LSWT method to 'satellite' because while they use in situ data to validate the sattelite data, only sattelite data are used in trend analysis",,,
0.001,"Lake Tana, Ethiopia",12.01276555,37.28646711,point,"MODIS, in-situ",satellite,"Sen’s slope estimator, and innovative trend analysis (ITA) ",mean,seasonal,dry season,1,21,2001,2022,Scopus,"Bayable, G., Cai, J., Mekonnen, M., Legesse, S. A., Ishikawa, K., Sato, S., & Kuwahara, V. S. (2024). Spatiotemporal variability of lake surface water temperature and water quality parameters and its interrelationship with water hyacinth biomass in Lake Tana, Ethiopia. Environmental Science and Pollution Research, 31(33), 45929-45953.",Bayable et al. 2024,Environmental Science and Pollution Research,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197755921&doi=10.1007%2fs11356-024-34212-x&partnerID=40&md5=f5d613c4e9dd74de59fdc00210d6f82a,,,,
-0.012,"Lake Tana, Ethiopia",12.01276555,37.28646711,point,"MODIS, in-situ",satellite,"Sen’s slope estimator, and innovative trend analysis (ITA) ",mean,seasonal,pre-rainy,1,21,2001,2022,Scopus,"Bayable, G., Cai, J., Mekonnen, M., Legesse, S. A., Ishikawa, K., Sato, S., & Kuwahara, V. S. (2024). Spatiotemporal variability of lake surface water temperature and water quality parameters and its interrelationship with water hyacinth biomass in Lake Tana, Ethiopia. Environmental Science and Pollution Research, 31(33), 45929-45953.",Bayable et al. 2024,Environmental Science and Pollution Research,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197755921&doi=10.1007%2fs11356-024-34212-x&partnerID=40&md5=f5d613c4e9dd74de59fdc00210d6f82a,,,,
